num_etudiant;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;last_annee_validee;last_diplome_valide;moyenne
21506372;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;2017/2018;L2;9.17
21503497;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.79
21607418;Hors;L2 Maths - S2;L3 MAPI3 - S1;Hors;Hors;2018/2019;L3;10.56
21808405;Hors;Hors;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2019/2020;M1;10.17
21813431;Hors;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.44
21813168;Hors;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.1
21407878;L2 Maths - S1;L3 MAPI3 - S2;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2019/2020;M1;10.39
21610147;Hors;Hors;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2019/2020;M1;11.47
21606663;Hors;L2 Maths - S1;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;2017/2018;L2;10.34
21607753;L3 MAPI3 - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2018/2019;L3;12.72
21502636;L2 Maths - S2;L2 Maths - S1;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2018/2019;L3;9.75
21909128;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;4.0
21914695;Hors;Hors;Hors;L2 Maths - S2;L2 Maths - S1;None;None;6.92
21810308;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L2 Maths - S1;2020/2021;L2;10.39
21808493;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;9.27
21911520;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;4.68
21809653;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21707153;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21914850;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21701316;Hors;Hors;L1 Maths - S2;Hors;L2 Maths - S1;None;None;6.7
21907647;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;2.88
21907040;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21606192;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;2020/2021;L2;7.76
21408422;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21803350;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;8.55
21903847;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;5.7
21905317;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21806175;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;10.05
21807643;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21800797;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;11.52
21902241;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;11.45
21913965;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;10.42
22009596;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.39
21902436;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.56
21800532;Hors;Hors;Hors;L2 Maths - S2;L2 Maths - S1;2020/2021;L2;11.29
21906057;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;12.64
21917707;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21902973;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;2.91
21912565;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21904559;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21811893;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21903503;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;13.28
21700507;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;1.56
21900434;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.75
21904543;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;10.59
21813323;Hors;Hors;Hors;L2 Maths - S2;L2 Maths - S1;2020/2021;L2;14.48
21912360;Hors;Hors;Hors;L2 Maths - S2;L2 Maths - S1;None;None;8.18
21902696;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;11.11
21900433;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;9.13
21905507;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21909968;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.03
21503394;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;7.58
21907950;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21908610;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;12.27
21909711;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21606393;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;4.3
21905680;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.97
21904240;Hors;Hors;Hors;L2 Maths - S2;L2 Maths - S1;None;None;9.54
21401661;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21707377;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;None
21911512;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21205767;L2 Maths - S2;L2 Maths - S2;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;7.56
21906338;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;3.27
20309907;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;4.06
21912597;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21800828;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L2 Maths - S1;2018/2019;L1;9.48
21902254;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;9.34
21904764;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.61
21811650;Hors;Hors;3LA Maths - S1;L2 Maths - S2;L2 Maths - S1;2018/2019;3LA;9.5
21607240;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;None
21904338;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;8.04
21705231;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;8.65
21902298;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;12.34
21901512;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;5.37
21907413;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;12.16
21804181;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L2 Maths - S1;2020/2021;L2;11.99
21807111;Hors;Hors;L1 Maths - S2;Hors;L2 Maths - S1;None;None;None
21914889;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;14.27
21906336;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;13.23
21912940;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;15.94
21902639;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21906702;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;5.72
21908152;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21902583;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;13.7
21704190;Hors;Hors;L2 Maths - S2;L2 Maths - S2;L2 Maths - S1;2018/2019;L1;9.2
21917749;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21913405;Hors;Hors;Hors;Hors;L2 Maths - S1;2020/2021;L2;16.6
21901399;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;3.45
21902367;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;7.87
21902076;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;6.04
22014758;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;10.78
21801007;Hors;Hors;L1 Maths - S1;L2 Maths - S2;L2 Maths - S1;2020/2021;L2;9.47
21804988;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;7.94
21903243;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
21706129;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;9.81
21606660;Hors;Hors;L1 Maths - S2;L2 Maths - S2;L2 Maths - S1;None;None;9.5
22017109;Hors;Hors;Hors;Hors;L2 Maths - S1;None;None;None
